run_id	object	heartbeat_or_health_enabled	setpoint_enabled	expected_fallback	experiment_verdict	clock_bridge_status	clock_bridge_id	clock_uncertainty_ns	source_route_epoch_id	automatic_fallback_observed	fallback_nav_state	fallback_route_epoch_id	post_revocation_old_epoch_consumption_count	post_revocation_old_epoch_writer_count	altitude_loss_m	peak_tilt_rad	peak_angular_rate_rad_s	route_oracle_status	revocation	installation	exclusivity	continuity	recovery	full_trace_event_count	compact_trace_event_count
p3_offboard_hb_off_sp_off_r5_20260717	offboard	False	False	True	PASS	VALID	clock-e91af814c4ff8b0e	42291613	3	True	4	4	0	0	0.0	0.0011173721860872697		PASS	PASS	PASS	PASS	PASS	PASS	5511	1267
p3_offboard_hb_off_sp_on_r2_20260717	offboard	False	True	True	PASS	VALID	clock-d9761463fe4f1053	43843758	3	True	4	4	0	0	0.0030028820037841797	0.0005655287403329222		PASS	PASS	PASS	PASS	PASS	PASS	5547	1269
p3_offboard_hb_off_sp_on_r3_20260717	offboard	False	True	True	PASS	VALID	clock-5043ca63d10cb86b	38210760	3	True	4	4	0	0	0.0	0.0007399301335998792		PASS	PASS	PASS	PASS	PASS	PASS	5496	1257
p3_offboard_hb_off_sp_on_r4_20260717	offboard	False	True	True	PASS	VALID	clock-98d0a551b4fdf844	57282319	3	True	4	4	0	0	0.0008339881896972656	0.002698802808321995		PASS	PASS	PASS	PASS	PASS	PASS	5490	1270
p3_offboard_hb_on_sp_off_r1_20260717	offboard	True	False	False	PASS	VALID	clock-728e0e6993a662fb	92067454	3	False	4	4	0	0	0.1209338903427124	0.002429514183439136		PASS	PASS	PASS	PASS	PASS	PASS	5346	1225
p3_offboard_hb_on_sp_off_r3_20260717	offboard	True	False	False	PASS	VALID	clock-80aeeea4f6a41051	48368978	3	False	4	4	0	0	0.13602948188781738	0.002774194015699325		PASS	PASS	PASS	PASS	PASS	PASS	3533	848
p3_offboard_hb_on_sp_off_r4_20260717	offboard	True	False	False	PASS	VALID	clock-05b8192dfd45db7f	50690914	3	False	4	4	0	0	0.01758289337158203	0.002831670478071675		UNKNOWN	PASS	PASS	UNKNOWN	UNKNOWN	PASS	3573	869
p3_offboard_hb_on_sp_on_r5_20260717	offboard	True	True	False	PASS	VALID	clock-a805386d4ef6d61d	87372753	3	False	4	4	0	0	0.11306381225585938	0.0016664225309412795		PASS	PASS	PASS	PASS	PASS	PASS	5610	1130
p3_offboard_hb_on_sp_on_r6_20260717	offboard	True	True	False	PASS	VALID	clock-18e2d01a8890ed7e	73132123	3	False	4	4	0	0	0.15504670143127441	0.0016245861323476015		PASS	PASS	PASS	PASS	PASS	PASS	5639	1137
p3_offboard_hb_on_sp_on_r8_20260717	offboard	True	True	False	PASS	VALID	clock-8985a37429c05f79	94769353	3	False	4	4	0	0	0.0044078826904296875	0.0027450725498015176		PASS	PASS	PASS	PASS	PASS	PASS	3795	910
